Date,Day_of_the_ week,App,Minutes,Category
8/26,Saturday,FACEBOOK,147,Social Media
8/26,Saturday,YOUTUBE,127,Entertainment
8/26,Saturday,INSTAGRAM,120,Social Media
8/26,Saturday,GMIAL,1,Other
8/26,Saturday,CALENDER,1,Other
8/27,Sunday,INSTAGRAM,196,Social Media
8/27,Sunday,YOUTUBE,176,Entertainment
8/27,Sunday,FACEBOOK,58,Social Media
8/27,Sunday,GMAIL,1,Other
8/28,Monday,YOUTUBE,163,Entertainment
8/28,Monday,INSTAGRAM,96,Social Media
8/28,Monday,FACEBOOK,24,Social Media
8/28,Monday,GOOGLE,13,Education
8/28,Monday,GMAIL,2,Other
8/29,Tuesday,YOUTUBE,202,Entertainment
8/29,Tuesday,INSTAGRAM,53,Social Media
8/29,Tuesday,FACEBOOK,4,Social Media
8/29,Tuesday,DREAME,21,Entertainment
8/30,Wednesday,YOUTUBE,162,Entertainment
8/30,Wednesday,INSTAGRAM,121,Social Media
8/30,Wednesday,FACEBOOK,30,Social Media
8/30,Wednesday,CHROME,3,Education
8/31,Thursday,YOUTUBE,95,Entertainment
8/31,Thursday,INSTAGRAM,52,Social Media
8/31,Thursday,FACEBOOK,49,Social Media
8/31,Thursday,SETTINGS,8,Other
09/01,Friday,ISTAGRAM,50,Social Media
09/01,Friday,CALENDER,1,Other
09/01,Friday,SETTINGS,3,Other
09/01,Friday,MESSAGES,2,Other